系列名称,型号,商家编码,建议标价,活动价格,包安装包运输一件代发价
霖界Y系列,MAC35V3YHR,2040+1061003508008_V1.0,2499,1799,1603
霖界Y系列,MAC26V1Y3HR,2040+1061002608006_V1.0,2499,1699,1444
霖界Y系列,MAC35V1Y3HR,2040+1061003508009_V1.0,2699,1999,1699
至界V1Y1,MAC35V1Y1HR,2040+1061003508030,3099,2299,1724
坦克T系列,MAC26V1THR(鸿白),2040+1061002608017_V1.0,2899,2199,1649
坦克T系列,MAC35V1THR(鸿白),"	2040+1061003508021_V1.0",3199,2399,1799
霖界K系列,MAC51V1KSR(智联),2040+1062005108002_V1.0,4799,3699,2774
霖界K系列,MAC72V1KSR(智联),2040+1062007208002_V1.0,5899,4799,3599
定速Y系列,MAC26C5YHR(2代),2040+1061002608013_V1.0,1899,1499,1285
定速Y系列,MAC36C5YHR(2代),2040+1061003608005_V1.0,1999,1599,1385
定速Y系列,MAC36H5YHR(2代),2040+1061003608006_V1.0,2199,1699,1495
方柜系列,MAC52H5ESR(2代),2040+1062005208002_V1.0,3799,3299,2740
方柜系列,MAC72H5EHSR,2040+1062007208001_V1.0,4999,4299,3510
方柜系列,MAC52V1ESR,#N/A,4499,3699,2870
方柜系列,MAC72V1ESR,#N/A,5499,4799,3610
